ID,ierc_1a,ierc_1b,ierc_2,ierc_3,ierc_3_3_text,ierc_4,ierc_5,ierc_6,iris_1,iris_2,iris_3,iris_4,iris_5,iris_6,iris_7,iris_8,iris_9,iris_10,iris_11,iris_12,iris_13,iris_14,iris_15,iris_16,iris_17,iris_18,iris_19,iris_20,iris_21,iris_22,iris_23,iris_24,iris_25,iris_26,iris_27,iris_28,ier_eff1,ier_eff2,ier_eff3,ier_eff5,ier_eff6,ppass_1,ppass_2,ppass_3,ppass_4,ppass_5,ppass_6,ppass_7,ppass_8,ppass_9,ppass_10,ppass_11,ppass_12,ppass_13,ppass_14,ppass_15,ppass_16,ppass_17,ppass_18,ppass_19,ppass_20,ppass_21,ppass_22,ppass_23,ppass_24,sdt_1,sdt_2,sdt_3,sdt_4,sdt_5,sdt_6,sdt_7,sdt_8,sdt_9,sdt_10,sdt_11,sdt_12,sdt_13,sdt_14,sdt_15,sdt_16,sdt_17,sdt_18,sdt_19,sdt_20,sdt_21,sdt_22,sdt_23,sdt_24,bnsr_1,bnsr_2,bnsr_3,bnsr_4,bnsr_5,bnsr_6,bnsr_7,bnsr_8,bnsr_9,cerq_1,cerq_2,cerq_3,cerq_4,cerq_5,cerq_6,cerq_7,cerq_8,cerq_9,cerq_10,cerq_11,cerq_12,cerq_13,cerq_14,cerq_15,cerq_16,cerq_17,cerq_18,ders_1,ders_2,ders_3,ders_4,ders_5,ders_6,ders_7,ders_8,ders_9,ders_10,ders_11,ders_12,ders_13,ders_14,ders_15,ders_16,ders_17,ders_18,ders_19,ders_20,ders_21,ders_22,ders_23,ders_24,ders_25,ders_26,ders_27,ders_28,ders_29,ders_30,ders_31,ders_32,ders_33,ders_34,ders_35,ders_36,age#1_1,age#2_1,age#3_1,gender,gender_5_text,s_orientation,s_orientation_6_text,relationship,race,home,home_3_text,home_who,home_who_9_text,dependent,first_gen,income,iris_r,iris_h,iris_cs,iris_pp,ppass_limits,ppass_reason,ppass_aware,ppass_threat,ppass_guilt,ppass_perform
8001,I was upset because I was being asked to go to the grocery store during midterms week when I was solely focused on studying for my midterm. The thing that made me upset was that I kept being interrupted and I needed to study to make sure I do good because I bombed the last midterm I did.,"I think it was a mix of stress, anxiety, and constant noise that caused me to become upset","They just tell me to relax and not overwork myself and everything will be okay. They try to be reassuring and always say that ""it's in God's hands"". This does make me feel better most of the time.",1,NA,My father,1,2,4,7,3,6,7,7,1,9,8,1,7,6,6,6,6,7,7,3,7,3,7,7,6,5,5,6,4,6,5,5,5,5,4,4,3,7,2,3,3,4,5,5,5,4,2,2,2,4,2,2,4,5,5,5,3,4,4,3,2,5,1,3,3,4,3,4,1,4,3,4,3,5,1,4,3,3,2,5,1,3,2,4,5,6,3,4,2,5,6,4,3,4,4,2,2,2,2,4,4,2,2,4,2,2,4,5,4,2,3,3,3,3,2,4,4,2,2,2,5,4,3,2,2,2,2,4,2,3,2,4,3,2,2,3,3,1,4,4,3,2,4,2,3,3,7,15,102,1,NA,1,NA,2,3,1,NA,1234,NA,1,1,5,70,23,45,19,13,17,12,21,14,12
8002,I was upset because my car had been broken down for about 2 months and different things continued to break down.,"Stressed, annoyed, desperate","What my dad did was tell me that it would be a relatively easy fix, and that he would handle the harder component of the labor so that I could focus on the larger problem when he wasn't around to give me a hand.",2,NA,NA,1,1,3,8,2,4,8,7,5,5,7,1,8,9,8,8,8,8,8,1,5,4,7,6,6,5,5,1,5,5,5,5,6,5,5,6,5,2,5,2,3,4,5,6,4,3,1,3,4,5,4,2,2,5,1,2,4,5,5,4,4,4,3,3,4,2,3,4,1,3,3,2,4,4,3,4,4,3,4,4,2,3,4,6,6,6,3,5,2,5,5,1,5,5,2,5,5,3,1,2,4,2,2,2,2,3,4,4,4,2,3,3,4,5,5,3,2,3,4,3,5,5,5,1,3,3,4,5,2,2,2,2,4,4,4,5,4,4,4,5,5,1,4,4,3,4,1,15,104,1,NA,1,NA,1,3,1,NA,124,NA,1,1,5,67,20,50,20,20,21,16,12,8,11
8003,"It felt almost as though my parents don't understand that I need to start being on my own, it's been very hard for them to let go of me since I'm the eldest. They need to understand that I can't truly explore or experience anything with them constantly breathing on my neck.","angry, frustrated, exhausted",My dad tries communicating about it with me while my mom instead pushes the argument and never tries bringing it up again,2,NA,My best friend and sister,1,1,7,5,6,6,2,2,6,4,7,7,6,4,2,4,3,1,3,6,3,8,4,3,7,5,3,8,4,4,3,2,3,4,2,4,2,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,3,2,3,4,3,2,3,4,2,3,4,2,3,3,3,2,3,3,2,3,4,5,4,3,4,4,5,3,4,3,4,3,2,3,4,3,4,2,3,2,3,4,3,2,3,3,2,2,3,4,3,2,4,3,2,3,2,3,4,3,2,3,4,3,3,3,3,2,3,2,3,4,3,2,3,4,3,3,2,3,3,3,3,10,5,104,2,NA,1,NA,1,3,2,NA,6,NA,1,1,4,44,48,28,10,16,14,16,18,16,16
8004,I was upset because I was stressed about family issues while also stressed about  school in general.,I was worried and angry about family issues.,My mom told my everything would end fine and not to worry about it because everything will cool down soon.,1,NA,no one,1,2,7,9,2,7,7,9,2,9,9,3,6,6,7,8,8,9,8,5,6,7,5,8,2,7,8,2,6,9,7,6,6,5,5,5,6,1,6,6,1,6,5,5,2,3,2,6,6,3,5,3,2,5,2,2,5,5,5,4,4,4,3,4,4,3,2,3,3,3,3,4,2,3,3,4,3,3,3,4,2,3,2,5,4,7,2,5,2,6,6,2,2,2,3,1,4,3,3,3,2,2,5,5,3,2,2,4,3,2,4,4,2,2,2,3,5,5,2,2,1,1,4,1,3,2,2,5,3,2,2,3,2,2,2,3,3,3,2,3,4,3,3,2,3,4,5,5,102,2,NA,1,NA,1,3,2,NA,6,NA,2,1,8,86,23,51,21,22,21,22,8,7,17
8005,I was upset because I got cheated on by my boyfriend of 3 years.,"I was sad, angry, broken, confused, and so many other emotions that I can't even put into words.",My mom comforted me while I was crying and told me I was worth more than everything I'd been dealing with. She hugged me and told me some of the things she'd gone through (in terms of relationships) when she was younger and told me that I would find someone better. She also told me she doesn't like seeing me in pain because it makes her sad because she doesn't like to see me unhappy.,1,NA,My big sister,1,2,9,9,3,9,7,9,1,9,9,1,9,6,5,9,5,9,8,1,5,8,9,9,6,9,9,1,6,9,4,5,6,4,4,6,5,1,5,4,5,5,3,2,4,4,1,3,4,2,4,4,4,6,1,1,2,4,3,2,2,3,3,2,3,2,1,5,5,4,2,2,2,2,2,4,2,2,5,5,5,1,5,4,4,7,2,2,1,4,5,1,5,5,3,2,5,2,3,4,5,4,1,1,2,2,3,5,5,4,4,5,5,2,5,5,2,5,2,5,3,4,5,2,2,2,5,5,5,1,4,4,5,2,2,5,2,5,3,2,4,2,5,3,5,5,1,3,103,2,NA,1,NA,1,2,2,NA,6,NA,2,2,1,94,21,47,27,18,17,15,8,11,14
8006,I received emotional support from my parents when I got into an argument with my significant other.,I was feeling both sad and angry.,I was being comforted by my dad and he would tell me that things would be okay while I explained that my problems to him.,2,NA,"Mother, Uncle",1,2,6,6,6,7,7,7,7,4,7,7,7,5,5,5,7,7,4,3,5,7,7,7,7,7,5,7,5,6,5,5,5,6,5,6,6,6,4,5,6,5,4,3,7,6,6,4,4,6,3,5,6,4,6,6,5,3,3,3,3,4,2,4,2,4,2,4,1,4,4,3,2,4,2,3,2,3,2,4,2,4,4,3,4,4,3,3,4,4,3,4,2,2,4,3,4,2,2,3,2,2,2,3,2,2,3,3,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,2,4,3,4,3,4,4,2,3,4,4,4,2,3,3,3,4,4,29,103,1,NA,1,NA,2,1,2,NA,6,NA,1,1,5,63,44,42,21,18,16,15,25,24,21
8007,"I was upset because when I tried to have a conversation with you, you completely ignored me.",I was feeling angry and frustrated.,Mt parent told be that everything is going to be ok. and then had a conversation about it and went to target.,1,NA,no one,1,2,3,4,5,4,3,2,6,2,3,3,2,2,2,3,3,3,2,2,2,2,2,2,6,3,3,7,3,3,5,5,5,5,5,4,3,5,3,4,5,3,3,3,4,5,6,4,3,4,2,5,6,5,5,5,5,4,3,3,4,3,4,2,4,3,4,3,4,1,4,3,4,3,4,2,5,1,3,2,3,2,4,3,2,3,3,3,5,2,3,5,3,3,2,4,3,3,1,2,3,1,1,1,2,3,2,2,3,2,1,2,4,5,5,2,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,1,104,5,NA,1,NA,1,8,1,NA,123,NA,1,1,8,28,31,20,8,13,15,12,18,22,19
8008,Deciding to change my major,Frustrated,My mother helped me to understand that just because I have been set on something for so long doesn't mean that I have to do it.,1,NA,Father,1,1,4,7,1,7,7,6,1,5,6,1,8,8,8,8,4,7,4,1,6,1,6,4,6,1,6,1,1,4,6,6,4,6,4,5,5,5,3,3,2,5,5,4,5,2,1,3,3,5,4,1,1,3,5,2,1,3,3,4,3,4,1,5,1,4,1,4,1,5,2,4,2,4,1,5,1,3,4,3,2,5,2,3,4,4,2,2,2,3,3,1,5,4,2,1,5,3,1,2,2,2,1,3,2,1,3,2,1,2,2,1,1,1,1,1,4,1,1,2,1,2,2,1,1,1,4,2,1,4,1,4,4,5,2,2,1,1,1,1,1,1,2,2,4,1,8,9,104,1,NA,1,NA,1,3,1,NA,123,NA,1,2,2,64,12,39,14,16,15,15,20,6,7
8009,I sometimes felt lonely and stressed because I couldn't find a thing that can develop my skills.,Lonely and stressed,"They simply told me about their stories that happened at my age, and I often find similarities, so I felt that I'm not lonely.",2,NA,normal chat and laughing,3,2,9,9,1,9,9,9,1,9,9,1,9,9,9,9,9,1,9,1,9,1,9,5,2,9,9,1,9,9,7,7,7,7,7,7,7,7,7,1,1,7,7,7,1,7,1,7,7,1,7,4,1,4,1,1,4,7,7,5,1,5,1,5,5,5,5,5,1,5,5,5,2,5,1,5,2,4,1,5,1,5,1,7,7,7,1,7,1,7,7,1,4,3,5,2,3,3,3,5,2,2,3,4,4,2,4,2,1,1,4,5,2,2,1,2,4,4,2,4,4,3,2,1,1,1,4,2,1,3,4,3,1,3,4,2,1,1,4,1,3,1,2,3,1,1,4,16,102,1,NA,2,NA,1,1,2,NA,6,NA,2,2,6,95,8,63,19,28,25,28,10,4,16
8010,I was homesick.,I was sad because I missed home and my family.,I was just catching up and talking to my parents. They would tell me that they miss and love me.,3,Both,My parents and my sister,3,1,8,8,1,8,8,8,3,8,9,1,9,8,8,8,8,8,9,1,9,3,8,8,2,5,7,2,7,9,5,5,5,5,5,5,4,3,5,5,3,5,5,5,4,2,2,4,5,2,6,2,3,4,4,3,2,4,5,3,2,4,3,4,4,3,2,4,4,3,3,4,4,4,3,2,3,3,3,4,3,3,4,6,5,6,3,5,4,5,5,4,2,3,2,3,3,3,4,2,3,2,2,3,2,4,3,2,5,2,3,4,2,3,4,4,3,4,2,3,4,4,4,2,2,2,1,3,3,2,4,3,3,2,3,4,1,3,4,4,3,3,3,3,2,4,4,13,104,1,NA,6,Queer,6,1,2,NA,6,NA,1,2,8,90,13,57,21,20,17,20,13,11,11
