StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ierc_1a,ierc_1b,ierc_2,ierc_3,ierc_3_3_TEXT,ierc_4,ierc_5,ierc_6,IRIS_1,IRIS_2,IRIS_3,IRIS_4,IRIS_5,IRIS_6,IRIS_7,IRIS_8,IRIS_9,IRIS_10,IRIS_11,IRIS_12,IRIS_13,IRIS_14,IRIS_15,IRIS_16,IRIS_17,IRIS_18,IRIS_19,IRIS_20,IRIS_21,IRIS_22,IRIS_23,IRIS_24,IRIS_25,IRIS_26,IRIS_27,IRIS_28,ier_eff1,ier_eff2,ier_eff3,ier_eff5,ier_eff6,PPASS_1,PPASS_2,PPASS_3,PPASS_4,PPASS_5,PPASS_6,PPASS_7,PPASS_8,PPASS_9,PPASS_10,PPASS_11,PPASS_12,PPASS_13,PPASS_14,PPASS_15,PPASS_16,PPASS_17,PPASS_18,PPASS_19,PPASS_20,PPASS_21,PPASS_22,PPASS_23,PPASS_24,SDT_1,SDT_2,SDT_3,SDT_4,SDT_5,SDT_6,SDT_7,SDT_8,SDT_9,SDT_10,SDT_11,SDT_12,SDT_13,SDT_14,SDT_15,SDT_16,SDT_17,SDT_18,SDT_19,SDT_20,SDT_21,SDT_22,SDT_23,SDT_24,BNSR_1,BNSR_2,BNSR_3,BNSR_4,BNSR_5,BNSR_6,BNSR_7,BNSR_8,BNSR_9,CERQ_1,CERQ_2,CERQ_3,CERQ_4,CERQ_5,CERQ_6,CERQ_7,CERQ_8,CERQ_9,CERQ_10,CERQ_11,CERQ_12,CERQ_13,CERQ_14,CERQ_15,CERQ_16,CERQ_17,CERQ_18,DERS_1,DERS_2,DERS_3,DERS_4,DERS_5,DERS_6,DERS_7,DERS_8,DERS_9,DERS_10,DERS_11,DERS_12,DERS_13,DERS_14,DERS_15,DERS_16,DERS_17,DERS_18,DERS_19,DERS_20,DERS_21,DERS_22,DERS_23,DERS_24,DERS_25,DERS_26,DERS_27,DERS_28,DERS_29,DERS_30,DERS_31,DERS_32,DERS_33,DERS_34,DERS_35,DERS_36,age#1_1,age#2_1,age#3_1,gender,gender_5_TEXT,s_orientation,s_orientation_6_TEXT,relationship,race,home,home_3_TEXT,home_who,home_who_9_TEXT,dependent,first_gen,income,id
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,IER_context,IER_context,IER_context,IER_context - Selected Choice,IER_context - Other (please specify) - Text,IER_context,IER_context,IER_context,Encouraged me to share my feelings with them,Gave me advice,Expressed anger or hostility toward me,Were honest with me,Helped me to see the situation in a new light,Expressed sympathy or concern,Laughed at me,Made an effort to listen to me,Reminded me of the good things that I have,Ignored or invalidated my feelings,Comforted or consoled me,Helped me to solve the problem,Agreed with my opinion of the situation,Took an interest in my feelings,Helped me to make a plan,Let me know that they were physically present with me,Understood my feelings,Expressed resentment toward me,Helped me to see a silver lining,Were overwhelmed by my feelings,"Conveyed their availability through body language (for example, eye contact, facial expressions, body posture)",Let me vent my emotions,Criticized my response to the situation,"Communicated their thoughts and feelings through physical contact (for example, a pat on the shoulder, a hug)",Let me know that my feelings were understandable or legitimate,Told me I was being too emotional,Suggested alternative interpretations of the situation,Communicated their love or positive regard for me,IER_effectiveness,IER_effectiveness,IER_effectiveness,IER_effectiveness,IER_effectiveness,My parent gave me many opportunities to make my own decisions about what I was doing.,"When my parent asked me to do something, they explained why they wanted me to do it.","When I refused to do something, my parent threatened to take away certain privileges in order to make me do it.",My point of view was very important to my parent when they made important decisions concerning me.,My parent refused to accept that I could want simply to have fun without trying to be the best.,"When my parent wanted me to do something differently, they made me feel guilty.",My parent encouraged me to be myself.,"Within certain limits, my parent allowed me the freedom to choose my own activities.","When I was not allowed to do something, I usually knew why.","I always had to do what my parent wanted me to do, if not, they would threaten to take away privileges.","My parent believed that, in order to succeed, I always had to be the best at what I did.",My parent made me feel guilty for anything and everything.,My parent was able to put themselves in my shoes and understand my feelings.,My parent hoped that I would make choices that corresponded to my interests and preferences regardless of what theirs was.,"When my parent wanted me to do something, I had to obey or else I was punished.",My parent was open to my thoughts and feelings even when they were different from theirs.,"In order for my parent to be proud of me, I had to be the best.","When my parent wanted me to act differently, they made me feel ashamed in order to make me change.",My parent made sure that I understood why they forbid certain things.,"As soon as I didn’t do exactly what my parent wanted, they threatened to punish me.",My parent used guilt to control me.,My parent insisted that I always be better than others.,"When I asked why I had to do, or not do, something, my parent gave me good reasons.",My parent listened to my opinion and point of view when I disagreed with them.,I feel a sense of choice and freedom in the things I undertake.,Most of the things I do feel like “I have to”.,I feel that the people I care about also care about me.,I feel excluded from the group I want to belong to.,I feel confident that I can do things well.,I have serious doubts about whether I can do things well.,I feel that my decisions reflect what I really want.,I feel forced to do many things I wouldn’t choose to do.,"I feel connected with people who care for me, and for whom I care.",I feel that people who are important to me are cold and distant towards me.,I feel capable at what I do.,I feel disappointed with many of my performances.,I feel my choices express who I really am.,I feel pressured to do too many things.,I feel close and connected with other people who are important to me.,I have the impression that people I spend time with dislike me.,I feel competent to achieve my goals.,I feel insecure about my abilities.,I feel I have been doing what really interests me.,My daily activities feel like a chain of obligations.,I experience a warm feeling with the people I spend time with.,I feel the relationships I have are just superficial.,I feel I can successfully complete difficult tasks.,I feel like a failure because of the mistakes I make.,"When I am with my parent, I feel free to be who I am.","When I am with my parent, I feel like a competent person.","When I am with my parent, I feel loved and cared about.","When I am with my parent, I often feel inadequate or incompetent.","When I am with my parent, I have a say in what happens, and I can voice my opinion.","When I am with my parent, I often feel a lot of distance in our relationship.","When I am with my parent, I feel very capable and effective.","When I am with my parent, I feel a lot of closeness and intimacy.","When I am with my parent, I feel controlled and pressured to be certain ways.",I think that I have to accept that this has happened,I often think about how I feel about what I have experienced,I think I can learn something from the situation,I feel that I am the one who is responsible for what has happened,I think that I have to accept the situation,I am preoccupied with what I think and feel about what I have experienced,I think of pleasant things that have nothing to do with it,I think that I can become a stronger person as a result of what has happened,I keep thinking about how terrible it is what I have experienced,I feel that others are responsible for what has happened,I think of something nice instead of what has happened,I think about how to change the situation,I think that it hasn’t been too bad compared to other things,I think that basically the cause must lie within myself,I think about a plan of what I can do best,I tell myself that there are worse things in life,I continually think how horrible the situation has been,I feel that basically the cause lies with others,I am clear about my feelings.,I pay attention to how I feel.,I experience my emotions as overwhelming and out of control.,I have no idea how I am feeling.,I have difficulty making sense out of my feelings.,I am attentive to my feelings.,I know exactly how I am feeling.,I care about what I am feeling.,I am confused about how I feel.,"When I’m upset, I acknowledge my emotions.","When I’m upset, I become angry with myself for feeling that way.","When I’m upset, I become embarrassed for feeling that way.","When I’m upset, I have difficulty getting work done.","When I’m upset, I become out of control.","When I’m upset, I believe that I will remain that way for a long time.","When I’m upset, I believe that I will end up feeling very depressed.","When I’m upset, I believe that my feelings are valid and important.","When I’m upset, I have difficulty focusing on other things.","When I’m upset, I feel out of control.","When I’m upset, I can still get things done.","When I’m upset, I feel ashamed of myself for feeling that way.","When I’m upset, I know that I can find a way to eventually feel better.","When I’m upset, I feel like I am weak.","When I’m upset, I feel like I can remain in control of my behaviors.","When I’m upset, I feel guilty for feeling that way.","When I’m upset, I have difficulty concentrating.","When I’m upset, I have difficulty controlling my behaviors.","When I’m upset, I believe there is nothing I can do to make myself feel better.","When I’m upset, I become irritated at myself for feeling that way.","When I’m upset, I start to feel very bad about myself.","When I’m upset, I believe that wallowing in it is all I can do.","When I’m upset, I lose control over my behavior.","When I’m upset, I have difficulty thinking about anything else.","When I’m upset, I take time to figure out what I’m really feeling.","When I’m upset, it takes me a long time to feel better.","When I’m upset, my emotions feel overwhelming.",What is your birth date? - Month - Please Select:,What is your birth date? - Day - Please Select:,What is your birth date? - Year - Please Select:,What is your gender identity? - Selected Choice,What is your gender identity? - Prefer to self-describe - Text,What is your sexual identity? - Selected Choice,What is your sexual identity? - Prefer to self-describe - Text,What is your current relationship status?,Please check the box(es) that best describe your racial background:,Do you live at home with your parent(s)? - Selected Choice,Do you live at home with your parent(s)? - Other - Text,Who do you currently live with? (check all that apply) - Selected Choice,Who do you currently live with? (check all that apply) - Other: - Text,"Are you a dependent? (i.e., does someone claim you on their taxes or pay for most of your expenses, such as rent, insurance, food, etc.?)",Are you a first-generation college student? (a first-generation college student is a student whose parent(s) did not complete a four-year college or university degree),What is your total family income before taxes?,id
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_3_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID234""}","{""ImportId"":""QID235""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240""}","{""ImportId"":""QID241""}","{""ImportId"":""QID242""}","{""ImportId"":""QID243""}","{""ImportId"":""QID244""}","{""ImportId"":""QID245""}","{""ImportId"":""QID246""}","{""ImportId"":""QID247""}","{""ImportId"":""QID248""}","{""ImportId"":""QID249""}","{""ImportId"":""QID250""}","{""ImportId"":""QID251""}","{""ImportId"":""QID252""}","{""ImportId"":""QID253""}","{""ImportId"":""QID254""}","{""ImportId"":""QID255""}","{""ImportId"":""QID256""}","{""ImportId"":""QID257""}","{""ImportId"":""QID262""}","{""ImportId"":""QID263""}","{""ImportId"":""QID264""}","{""ImportId"":""QID265""}","{""ImportId"":""QID266""}","{""ImportId"":""QID267""}","{""ImportId"":""QID268""}","{""ImportId"":""QID269""}","{""ImportId"":""QID270""}","{""ImportId"":""QID271""}","{""ImportId"":""QID272""}","{""ImportId"":""QID273""}","{""ImportId"":""QID274""}","{""ImportId"":""QID275""}","{""ImportId"":""QID276""}","{""ImportId"":""QID277""}","{""ImportId"":""QID278""}","{""ImportId"":""QID279""}","{""ImportId"":""QID280""}","{""ImportId"":""QID281""}","{""ImportId"":""QID282""}","{""ImportId"":""QID283""}","{""ImportId"":""QID284""}","{""ImportId"":""QID285""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID216""}","{""ImportId"":""QID217""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID182""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189""}","{""ImportId"":""QID190""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID199""}","{""ImportId"":""QID286""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206""}","{""ImportId"":""QID207""}","{""ImportId"":""QID208""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID211""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214""}","{""ImportId"":""QID215""}","{""ImportId"":""QID37#1_1""}","{""ImportId"":""QID37#2_1""}","{""ImportId"":""QID37#3_1""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_5_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_6_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_3_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_9_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""id""}"
2/1/22 16:42,2/1/22 16:42,1,100,20,1,2/1/22 16:42,R_PCDit36XChN1j57,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/22 16:59,2/1/22 16:59,1,100,17,1,2/1/22 16:59,R_7NBLcLnxKIQIyeB,preview,EN,9999,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/22 17:57,2/1/22 17:57,1,100,23,1,2/1/22 17:57,R_qEgDJqrSJdqq87L,preview,EN,9999,9999,9999,9999,9999,9999,9999,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/22 18:28,2/1/22 18:46,1,100,1059,1,2/1/22 18:46,R_2EGch9R8XadbuJv,preview,EN,9999,9999,9999,9999,9999,9999,9999,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/22 9:16,2/2/22 9:17,1,100,24,1,2/2/22 9:17,R_Apv1AE8iR7oxfGN,preview,EN,9999,9999,9999,9999,9999,9999,9999,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/22 15:39,2/5/22 15:40,1,100,68,1,2/5/22 15:40,R_2yrN7dj8XLy0JLt,preview,EN,9999,9999,9999,9999,9999,9999,9999,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,9999,9999,9999,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,
2/13/22 14:18,2/13/22 14:24,1,100,321,1,2/13/22 14:24,R_tXHSDJKz1JQxXpv,preview,EN,Text,Text,Text,1,9999,Text,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9999,1,,2,1,1,9999,"1,2,4",9999,1,2,6,
2/18/22 9:44,2/18/22 9:48,1,100,212,1,2/18/22 9:48,R_UmvV6ygC3wMnIUF,preview,EN,9999,9999,9999,9999,9999,9999,9999,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,9999,9999,9999,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,9999,9999,5,9999,9999,9999,9999,"4,5,6",1,9999,"1,3,5",9999,1,2,8,
